         3689970 function calls (3541787 primitive calls) in 17.472 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\control_flow_util_v2.py:131(maybe_propagate_compile_time_consts_in_xla)
        2    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\distribute\distribute_lib.py:2834(<listcomp>)
       33    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\saving\serialization_lib.py:744(_retrieve_class_or_fn)
    88/22    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\ops.py:6176(_get_enclosing_context)
      759    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\tensor_shape.py:1420(<genexpr>)
       67    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\auto_control_deps_utils.py:62(<listcomp>)
      727    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\eager\polymorphic_function\polymorphic_function.py:443(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\io\common.py:207(validate_header_arg)
        4    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\ops.py:1549(_set_type_list_attr)
        5    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
      100    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\tensor_shape.py:292(assert_is_compatible_with)
        7    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\device_spec.py:145(from_string)
      112    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\gradients_util.py:328(_IsPartitionedCall)
        1    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\data\ops\range_op.py:42(_parse_args)
       48    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\data\ops\map_op.py:233(element_spec)
      185    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\tensor.py:812(<listcomp>)
      364    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\eager\execute.py:170(make_bool)
      672    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\resource_variable_ops.py:601(dtype)
        8    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\tensor_array_ops.py:516(_check_element_shape)
      104    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\backend\common\name_scope.py:56(__exit__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\logging\__init__.py:1610(_log)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\core\indexers\utils.py:239(maybe_convert_indices)
       24    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\_dtype.py:350(_name_get)
        8    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\func_graph.py:473(output_types)
       82    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\list_ops.py:408(<listcomp>)
        2    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\json\encoder.py:205(iterencode)
        3    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\data\ops\range_op.py:65(_build_tensor)
        3    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\distribute\distribute_lib.py:3400(__init__)
       11    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\trackable\data_structures.py:907(_track_value)
       67    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\eager\context.py:3209(_tmp_in_graph_mode)
       60    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\ops.py:2118(_variable_creator_scope)
      103    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\utils\traceback_utils.py:60(is_traceback_filtering_enabled)
      308    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\ops.py:3808(op_in_group)
       20    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\ops.py:2872(as_graph_element)
      256    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\core\function\capture\capture_container.py:34(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\numpy\_core\_methods.py:51(_sum)
       20    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\distribute\distribute_lib.py:2667(reduce_to)
       32    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\h5py\_hl\filters.py:151(fill_dcpl)
        1    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\ops\function.py:215(map_graph)
      934    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\core\function\trace_type\trace_type_builder.py:119(allow_specs)
       38    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\ops.py:3994(_attr_scope)
       20    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\cond_v2.py:816(<listcomp>)
       63    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\auto_control_deps.py:201(__init__)
     1220    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\while_v2.py:1384(<genexpr>)
     25/7    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\layers\layer.py:1188(_clear_losses)
        8    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\func_graph.py:475(<listcomp>)
       61    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\layers\layer.py:765(input_dtype)
       32    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\initializers\initializer.py:63(from_config)
       57    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\autograph\core\ag_ctx.py:76(__exit__)
       62    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\utils\tracking.py:138(__init__)
      104    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\backend\common\name_scope.py:18(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\core\function\polymorphism\function_type.py:222(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'is_finite' of 'decimal.Decimal' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\utils\tracking.py:202(<dictcomp>)
      158    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_GetBuffer}
       29    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\inspect.py:3023(replace)
        6    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\core\function\polymorphism\function_type.py:229(get_default_values)
       40    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\metrics\metric.py:236(__setattr__)
      729    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\eager\polymorphic_function\function_type_utils.py:369(<dictcomp>)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      224    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\autograph\core\ag_ctx.py:28(_control_ctx)
      364    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\op_def_library.py:182(_MakeBool)
        1    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\io\common.py:515(get_compression_method)
       65    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.platform._pywrap_tf2.is_enabled}
    72/25    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py:178(getwidth)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
       16    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\control_flow_ops.py:344(_ShapeLessThanOrEqual)
        9    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\typing_extensions.py:611(__subclasscheck__)
      450    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\ops.py:4311(_colocation_stack)
    44/28    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\saving\serialization_lib.py:389(serialize_dict)
      354    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\re\_parser.py:168(__getitem__)
        8    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\variable_scope.py:1204(get_collection)
       48    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\control_flow_util_v2.py:78(unique_fn_name)
       36    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\distribute\distribute_lib.py:706(_get_default_replica_mode)
       68    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\resource_variable_ops.py:2566(is_resource_variable)
        3    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\sklearn\utils\_tags.py:367(get_tags)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       27    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\utils\tracking.py:205(__setitem__)
      474    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\resource_variable_ops.py:692(trainable)
       10    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\ops\symbolic_arguments.py:31(fill_in)
       16    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\dtype_policies\__init__.py:58(get)
        4    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\control_flow_state.py:757(MaybeCreateControlFlowState)
      112    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\control_flow_util.py:88(IsSwitch)
        4    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\layers\rnn\rnn.py:454(_maybe_reset_dropout_masks)
      102    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\collections\__init__.py:442(_make)
       54    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\pickle.py:491(memoize)
       64    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\distribute\distribute_lib.py:453(get_replica_context)
      232    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\gradients_util.py:901(_FilterGrad)
      298    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\logging\__init__.py:1734(isEnabledFor)
        2    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\trainers\data_adapters\array_slicing.py:53(cast)
       18    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\autograph\impl\conversion.py:95(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\data\util\structure.py:488(<listcomp>)
        4    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\layers\rnn\rnn.py:436(_maybe_config_dropout_masks)
      121    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\core\function\trace_type\trace_type_builder.py:175(<dictcomp>)
      160    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\indexed_slices.py:302(internal_convert_to_tensor_or_indexed_slices)
       10    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\tensor.py:604(__repr__)
       41    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        8    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\ml_dtypes\_finfo.py:703(__new__)
        4    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\variable_scope.py:1213(global_variables)
       30    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\eager\backprop.py:61(op_attr_type)
        2    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\type_spec.py:266(flatten)
      270    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\gradients_util.py:1036(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\core\indexes\base.py:4323(reindex)
        4    0.000    0.000    0.000    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_CreatePlaceholders}
       77    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\c_api_util.py:70(__del__)
      279    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
       57    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\util\tf_decorator.py:179(_get_bound_instance)
        2    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\core\internals\managers.py:557(copy)
        8    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\composite_tensor_gradient.py:159(get_flat_tensors_for_gradients)
        3    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\core\function\polymorphism\function_type.py:596(add_type_constraints)
        3    0.000    0.000    0.000    0.000 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\pickle.py:1122(save_type)
       24    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\distribute\distribute_lib.py:3991(__exit__)
        6    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\ops\symbolic_arguments.py:26(convert)
        4    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\func_graph.py:477(output_shapes)
      114    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       72    0.000    0.000    0.000    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_TapeVariableAccessed}
        1    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\core\internals\construction.py:596(_homogenize)
       15    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\autograph\impl\conversion.py:33(_is_of_known_loaded_module)
        4    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\ops\while_v2.py:1280(_check_inputs_outputs_types_match)
       74    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\constant_op.py:329(is_constant)
        2    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\pandas\core\frame.py:4626(_get_item_cache)
      121    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\tensorflow\python\framework\traceable_stack.py:119(pop_obj)
      159    0.000    0.000    0.000    0.000 C:\Users\rakes\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\keras\src\utils\module_utils.py:31(__getattr__)
